immatriculation,marque,nom,puissance,longueur,nbPlaces,nbPortes,couleur,occasion,prix
5805 YN 37,BMW,M5,507,tr�s longue,5,5,gris,true,66360
7341 QB 17,BMW,M5,507,tr�s longue,5,5,bleu,false,94800
9925 TY 41,Audi,A2 1.4,75,courte,5,5,rouge,false,18310
6238 TQ 16,Audi,A2 1.4,75,courte,5,5,noir,false,18310
4395 AS 40,BMW,M5,507,tr�s longue,5,5,noir,true,66360
1295 WZ 85,Peugeot,1007 1.4,75,courte,5,5,gris,false,13750
3228 PI 22,Audi,A2 1.4,75,courte,5,5,gris,false,18310
3367 NG 10,Volvo,S80 T6,272,tr�s longue,5,5,gris,false,50500
5784 HC 14,Audi,A2 1.4,75,courte,5,5,bleu,false,18310
6685 TE 75,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,rouge,false,22900
6461 RY 26,Renault,Laguna 2.0T,170,longue,5,5,noir,false,27300
1498 MN 80,Fiat,Croma 2.2,147,longue,5,5,blanc,false,24780
4400 IT 29,BMW,M5,507,tr�s longue,5,5,gris,false,94800
9066 UX 89,Fiat,Croma 2.2,147,longue,5,5,rouge,false,24780
9075 QO 83,Jaguar,X-Type 2.5 V6,197,longue,5,5,bleu,false,37100
826 NJ 62,Saab,9.3 1.8T,150,longue,5,5,gris,true,27020
1791 WG 33,BMW,M5,507,tr�s longue,5,5,blanc,false,94800
715 BO 44,Ford,Mondeo 1.8,125,longue,5,5,blanc,true,16730
3484 AH 69,Peugeot,1007 1.4,75,courte,5,5,blanc,false,13750
9629 ZS 93,Renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,blanc,true,34440
5620 EV 51,BMW,120i,150,moyenne,5,5,bleu,true,25060
8548 AJ 17,Kia,Picanto 1.1,65,courte,5,5,gris,false,8990
1891 YV 82,BMW,M5,507,tr�s longue,5,5,noir,false,94800
6262 AO 31,BMW,M5,507,tr�s longue,5,5,blanc,true,66360
9721 LN 29,Audi,A2 1.4,75,courte,5,5,noir,false,18310
8379 YQ 86,Fiat,Croma 2.2,147,longue,5,5,gris,false,24780
2021 AV 73,BMW,M5,507,tr�s longue,5,5,noir,false,94800
699 OU 38,Mercedes,S500,306,tr�s longue,5,5,rouge,true,70910
2267 LU 10,Fiat,Croma 2.2,147,longue,5,5,blanc,false,24780
2083 WU 93,BMW,120i,150,moyenne,5,5,blanc,true,25060
7871 FA 27,Peugeot,1007 1.4,75,courte,5,5,gris,false,13750
4800 WC 72,Peugeot,1007 1.4,75,courte,5,5,blanc,false,13750
9016 HT 57,Audi,A2 1.4,75,courte,5,5,gris,false,18310
6241 OH 14,BMW,M5,507,tr�s longue,5,5,blanc,true,66360
637 YM 58,Jaguar,X-Type 2.5 V6,197,longue,5,5,bleu,false,37100
8728 LC 19,Renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,blanc,false,49200
7786 DF 35,Jaguar,X-Type 2.5 V6,197,longue,5,5,rouge,true,25970
6745 IT 89,Renault,Laguna 2.0T,170,longue,5,5,gris,false,27300
6828 XD 36,Peugeot,1007 1.4,75,courte,5,5,bleu,true,9625
4794 CW 30,Mercedes,S500,306,tr�s longue,5,5,blanc,true,70910
3808 SY 57,Jaguar,X-Type 2.5 V6,197,longue,5,5,noir,true,25970
5169 SB 91,Volvo,S80 T6,272,tr�s longue,5,5,noir,true,35350
1607 XI 11,BMW,M5,507,tr�s longue,5,5,noir,false,94800
7816 PZ 80,Seat,Toledo 1.6,102,longue,5,5,gris,false,18880
9557 GA 82,Jaguar,X-Type 2.5 V6,197,longue,5,5,noir,true,25970
8060 IF 62,Ford,Mondeo 1.8,125,longue,5,5,blanc,false,23900
8781 ZN 53,Audi,A2 1.4,75,courte,5,5,rouge,false,18310
7833 QR 67,Daihatsu,Cuore 1.0,58,courte,5,3,rouge,false,8850
3942 CR 71,Jaguar,X-Type 2.5 V6,197,longue,5,5,noir,false,37100
991 PX 31,Volkswagen,Polo 1.2 6V,55,courte,5,3,gris,true,8540
8104 PH 26,BMW,M5,507,tr�s longue,5,5,gris,true,66360
7008 RJ 62,Renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,noir,false,49200
1823 WV 72,Ford,Mondeo 1.8,125,longue,5,5,bleu,false,23900
3183 NP 36,Ford,Mondeo 1.8,125,longue,5,5,blanc,true,16730
9767 ZE 85,Nissan,Primera 1.6,109,longue,5,5,bleu,false,18650
7441 ZX 25,Mercedes,A200,136,moyenne,5,5,rouge,true,18130
9725 CK 92,Peugeot,1007 1.4,75,courte,5,5,rouge,false,13750
4719 JE 92,Jaguar,X-Type 2.5 V6,197,longue,5,5,noir,false,37100
8420 UU 59,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,rouge,false,22900
5458 ZI 65,Fiat,Croma 2.2,147,longue,5,5,noir,true,17346
1245 MS 32,Audi,A2 1.4,75,courte,5,5,bleu,true,12817
3621 ID 64,Audi,A2 1.4,75,courte,5,5,bleu,false,18310
9245 TY 83,Fiat,Croma 2.2,147,longue,5,5,noir,false,24780
1703 IH 38,Peugeot,1007 1.4,75,courte,5,5,noir,true,9625
8330 LX 60,Fiat,Croma 2.2,147,longue,5,5,rouge,false,24780
4165 VK 72,Audi,A2 1.4,75,courte,5,5,noir,false,18310
6734 XS 84,Peugeot,1007 1.4,75,courte,5,5,gris,false,13750
8099 QN 21,Audi,A2 1.4,75,courte,5,5,bleu,false,18310
3378 ZV 24,Renault,Megane 2.0 16V,135,moyenne,5,5,gris,false,22350
3780 UR 47,Audi,A2 1.4,75,courte,5,5,gris,false,18310
4964 CC 96,Skoda,Superb 2.8 V6,193,tr�s longue,5,5,noir,false,31790
2829 LK 71,Mercedes,S500,306,tr�s longue,5,5,bleu,false,101300
5809 RD 88,Jaguar,X-Type 2.5 V6,197,longue,5,5,blanc,true,25970
4054 UQ 46,Peugeot,1007 1.4,75,courte,5,5,bleu,false,13750
106 GH 18,Jaguar,X-Type 2.5 V6,197,longue,5,5,bleu,false,37100
792 GN 90,Audi,A2 1.4,75,courte,5,5,blanc,false,18310
6371 LH 74,Peugeot,1007 1.4,75,courte,5,5,bleu,true,9625
690 AK 16,Volkswagen,Polo 1.2 6V,55,courte,5,3,blanc,false,12200
8305 GB 67,Jaguar,X-Type 2.5 V6,197,longue,5,5,blanc,false,37100
6234 VQ 32,Seat,Toledo 1.6,102,longue,5,5,blanc,false,18880
2182 WH 24,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,rouge,true,16029
8567 VR 15,Audi,A2 1.4,75,courte,5,5,noir,false,18310
886 VR 78,Volvo,S80 T6,272,tr�s longue,5,5,bleu,false,50500
7834 ED 28,Volkswagen,Polo 1.2 6V,55,courte,5,3,bleu,false,12200
8186 NR 89,Seat,Toledo 1.6,102,longue,5,5,noir,false,18880
7194 TI 85,BMW,M5,507,tr�s longue,5,5,noir,true,66360
8914 KS 86,BMW,120i,150,moyenne,5,5,gris,true,25060
9821 LX 52,BMW,M5,507,tr�s longue,5,5,rouge,true,66360
4972 RB 75,Volkswagen,New Beatle 1.8,110,moyenne,5,5,noir,false,26630
5082 OD 55,Mercedes,S500,306,tr�s longue,5,5,rouge,true,70910
107 KE 25,BMW,M5,507,tr�s longue,5,5,rouge,true,66360
5309 HC 66,Seat,Toledo 1.6,102,longue,5,5,blanc,false,18880
3073 NY 85,BMW,M5,507,tr�s longue,5,5,gris,true,66360
5491 PE 47,Saab,9.3 1.8T,150,longue,5,5,gris,false,38600
580 HD 68,Volvo,S80 T6,272,tr�s longue,5,5,gris,true,35350
4345 PL 43,Skoda,Superb 2.8 V6,193,tr�s longue,5,5,gris,false,31790
8812 EH 59,Audi,A2 1.4,75,courte,5,5,gris,true,12817
4480 SU 46,Audi,A2 1.4,75,courte,5,5,blanc,false,18310
5747 NS 53,Nissan,Almera 1.8,115,moyenne,5,5,gris,false,16450
4076 WJ 83,BMW,120i,150,moyenne,5,5,bleu,true,25060
515 PN 12,Seat,Toledo 1.6,102,longue,5,5,blanc,false,18880
8880 FC 70,BMW,M5,507,tr�s longue,5,5,rouge,false,94800
4555 UX 30,Jaguar,X-Type 2.5 V6,197,longue,5,5,bleu,false,37100
8978 BD 32,Renault,Laguna 2.0T,170,longue,5,5,bleu,false,27300
4506 LF 25,Ford,Mondeo 1.8,125,longue,5,5,noir,false,23900
2973 RQ 64,Jaguar,X-Type 2.5 V6,197,longue,5,5,bleu,false,37100
4178 FI 86,Mercedes,S500,306,tr�s longue,5,5,noir,true,70910
8906 HY 19,Jaguar,X-Type 2.5 V6,197,longue,5,5,blanc,false,37100
3077 WO 33,Daihatsu,Cuore 1.0,58,courte,5,3,gris,false,8850
9973 IM 95,Dacia,Logan 1.6 MPI,90,moyenne,5,5,bleu,false,7500
5787 QR 30,Renault,Laguna 2.0T,170,longue,5,5,blanc,false,27300
5790 NL 45,Jaguar,X-Type 2.5 V6,197,longue,5,5,rouge,true,25970
8074 NO 80,Renault,Megane 2.0 16V,135,moyenne,5,5,blanc,false,22350
2676 OA 68,Audi,A2 1.4,75,courte,5,5,blanc,false,18310
8332 XK 82,BMW,M5,507,tr�s longue,5,5,blanc,true,66360
9547 LE 95,Audi,A2 1.4,75,courte,5,5,bleu,false,18310
8684 AT 54,BMW,M5,507,tr�s longue,5,5,rouge,false,94800
6599 UH 53,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,blanc,false,22900
7624 HO 38,Renault,Megane 2.0 16V,135,moyenne,5,5,bleu,true,15644
9230 GT 46,Nissan,Maxima 3.0 V6,200,tr�s longue,5,5,blanc,false,30000
1616 ED 91,Volvo,S80 T6,272,tr�s longue,5,5,gris,false,50500
7098 XU 64,Audi,A2 1.4,75,courte,5,5,rouge,false,18310
4501 FA 55,Renault,Laguna 2.0T,170,longue,5,5,blanc,true,19110
5700 UE 61,Renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,bleu,false,49200
5834 IH 23,Renault,Laguna 2.0T,170,longue,5,5,rouge,true,19110
6794 FX 46,BMW,M5,507,tr�s longue,5,5,blanc,true,66360
5222 SG 70,Audi,A2 1.4,75,courte,5,5,noir,true,12817
2745 FR 96,Audi,A2 1.4,75,courte,5,5,rouge,true,12817
7392 NG 39,Daihatsu,Cuore 1.0,58,courte,5,3,bleu,false,8850
9202 RK 50,Mercedes,S500,306,tr�s longue,5,5,noir,true,70910
7681 GM 88,Ford,Mondeo 1.8,125,longue,5,5,rouge,false,23900
1785 GH 77,BMW,120i,150,moyenne,5,5,bleu,true,25060
6469 AL 69,Renault,Megane 2.0 16V,135,moyenne,5,5,noir,false,22350
1057 EC 73,Volvo,S80 T6,272,tr�s longue,5,5,blanc,false,50500
3817 BC 67,BMW,M5,507,tr�s longue,5,5,bleu,true,66360
8224 WD 46,Jaguar,X-Type 2.5 V6,197,longue,5,5,noir,false,37100
2222 FQ 12,Audi,A2 1.4,75,courte,5,5,rouge,false,18310
5073 WA 21,Jaguar,X-Type 2.5 V6,197,longue,5,5,blanc,false,37100
4708 TL 38,Jaguar,X-Type 2.5 V6,197,longue,5,5,blanc,true,25970
4525 AR 85,Peugeot,1007 1.4,75,courte,5,5,noir,true,9625
191 AG 39,Renault,Megane 2.0 16V,135,moyenne,5,5,noir,false,22350
9920 CB 43,Renault,Laguna 2.0T,170,longue,5,5,rouge,false,27300
6645 KS 15,Mercedes,S500,306,tr�s longue,5,5,noir,true,70910
5290 FQ 24,Renault,Laguna 2.0T,170,longue,5,5,blanc,false,27300
3342 KI 57,Renault,Laguna 2.0T,170,longue,5,5,bleu,true,19110
5562 EN 39,Fiat,Croma 2.2,147,longue,5,5,bleu,false,24780
5938 KZ 52,Audi,A2 1.4,75,courte,5,5,noir,false,18310
3156 RE 77,Audi,A2 1.4,75,courte,5,5,bleu,false,18310
3438 QA 80,Jaguar,X-Type 2.5 V6,197,longue,5,5,bleu,false,37100
2556 ZA 36,Renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,bleu,false,49200
6783 MN 68,Audi,A2 1.4,75,courte,5,5,blanc,false,18310
2473 FO 63,BMW,120i,150,moyenne,5,5,gris,true,25060
7284 QB 70,Fiat,Croma 2.2,147,longue,5,5,bleu,true,17346
6242 MR 55,Volkswagen,Polo 1.2 6V,55,courte,5,3,bleu,false,12200
9183 BE 10,Fiat,Croma 2.2,147,longue,5,5,gris,false,24780
1507 HY 32,Renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,bleu,false,49200
948 II 63,Audi,A2 1.4,75,courte,5,5,gris,true,12817
7993 JN 81,BMW,M5,507,tr�s longue,5,5,bleu,true,66360
4041 EI 78,Volvo,S80 T6,272,tr�s longue,5,5,blanc,false,50500
3761 CI 79,BMW,M5,507,tr�s longue,5,5,noir,false,94800
212 UY 56,Renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,noir,true,34440
6285 KC 64,Jaguar,X-Type 2.5 V6,197,longue,5,5,bleu,false,37100
432 HR 48,Seat,Toledo 1.6,102,longue,5,5,bleu,false,18880
2702 IQ 89,Seat,Toledo 1.6,102,longue,5,5,noir,false,18880
7591 UD 23,Volvo,S80 T6,272,tr�s longue,5,5,bleu,false,50500
1706 JK 38,Renault,Laguna 2.0T,170,longue,5,5,blanc,false,27300
3208 OF 61,Audi,A2 1.4,75,courte,5,5,gris,false,18310
4215 QI 23,Renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,rouge,false,49200
9522 NV 69,Fiat,Croma 2.2,147,longue,5,5,noir,true,17346
8350 PF 70,Peugeot,1007 1.4,75,courte,5,5,rouge,false,13750
471 PX 59,BMW,M5,507,tr�s longue,5,5,blanc,false,94800
200 MU 39,Mercedes,A200,136,moyenne,5,5,noir,true,18130
5194 LV 95,Audi,A2 1.4,75,courte,5,5,rouge,false,18310
2372 JA 73,Seat,Toledo 1.6,102,longue,5,5,rouge,false,18880
7216 XG 77,Renault,Laguna 2.0T,170,longue,5,5,gris,false,27300
7422 YK 67,Fiat,Croma 2.2,147,longue,5,5,blanc,false,24780
418 CP 38,Audi,A2 1.4,75,courte,5,5,rouge,true,12817
7401 YI 61,Volvo,S80 T6,272,tr�s longue,5,5,noir,false,50500
8297 DT 26,Mercedes,S500,306,tr�s longue,5,5,blanc,true,70910
2534 IW 50,Seat,Toledo 1.6,102,longue,5,5,gris,false,18880
6208 UR 14,Renault,Laguna 2.0T,170,longue,5,5,gris,false,27300
8330 TE 33,Renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,noir,false,49200
8950 OR 19,Jaguar,X-Type 2.5 V6,197,longue,5,5,rouge,true,25970
5547 WN 42,Audi,A2 1.4,75,courte,5,5,rouge,false,18310
2937 VS 44,Volkswagen,Polo 1.2 6V,55,courte,5,3,gris,false,12200
531 TN 34,Jaguar,X-Type 2.5 V6,197,longue,5,5,bleu,false,37100
9483 SF 81,Volkswagen,Polo 1.2 6V,55,courte,5,3,rouge,false,12200
1547 BL 13,BMW,M5,507,tr�s longue,5,5,bleu,false,94800
1311 SI 71,Jaguar,X-Type 2.5 V6,197,longue,5,5,noir,false,37100
8801 AT 58,Volkswagen,Polo 1.2 6V,55,courte,5,3,gris,false,12200
7980 RU 61,Jaguar,X-Type 2.5 V6,197,longue,5,5,rouge,false,37100
4050 CH 62,BMW,M5,507,tr�s longue,5,5,gris,false,94800
297 CZ 45,Renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,blanc,false,49200
3952 YN 29,Fiat,Croma 2.2,147,longue,5,5,blanc,false,24780
6735 FQ 15,Audi,A2 1.4,75,courte,5,5,rouge,false,18310
7036 NL 98,Mercedes,S500,306,tr�s longue,5,5,rouge,true,70910
1258 PT 56,Volkswagen,Polo 1.2 6V,55,courte,5,3,blanc,false,12200
1292 NR 31,Mercedes,S500,306,tr�s longue,5,5,bleu,true,70910
536 FL 40,Jaguar,X-Type 2.5 V6,197,longue,5,5,gris,false,37100
4406 UQ 36,Audi,A2 1.4,75,courte,5,5,noir,true,12817
4055 YZ 71,Volvo,S80 T6,272,tr�s longue,5,5,blanc,false,50500
867 TQ 17,Audi,A2 1.4,75,courte,5,5,bleu,true,12817
138 EN 23,Jaguar,X-Type 2.5 V6,197,longue,5,5,rouge,true,25970
9484 WU 86,Volvo,S80 T6,272,tr�s longue,5,5,noir,false,50500
6197 HO 72,Jaguar,X-Type 2.5 V6,197,longue,5,5,gris,false,37100
1744 GH 11,Nissan,Primera 1.6,109,longue,5,5,rouge,false,18650
9804 SM 70,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,rouge,false,22900
2316 YU 86,Renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,noir,true,34440
3287 GW 66,Jaguar,X-Type 2.5 V6,197,longue,5,5,blanc,false,37100
6640 TO 79,BMW,M5,507,tr�s longue,5,5,bleu,false,94800
2161 RQ 69,Audi,A2 1.4,75,courte,5,5,rouge,false,18310
2848 NK 90,BMW,M5,507,tr�s longue,5,5,gris,false,94800
1124 DP 56,Renault,Laguna 2.0T,170,longue,5,5,rouge,false,27300
9232 NC 26,Mercedes,A200,136,moyenne,5,5,blanc,false,25900
8525 SO 70,Peugeot,1007 1.4,75,courte,5,5,gris,false,13750
9575 AU 33,Mercedes,A200,136,moyenne,5,5,gris,true,18130
574 MF 73,Mercedes,S500,306,tr�s longue,5,5,bleu,true,70910
3900 VI 45,Dacia,Logan 1.6 MPI,90,moyenne,5,5,rouge,false,7500
5046 RS 75,Jaguar,X-Type 2.5 V6,197,longue,5,5,rouge,false,37100
5436 FK 62,Audi,A2 1.4,75,courte,5,5,rouge,true,12817
6090 FR 32,Mercedes,A200,136,moyenne,5,5,gris,false,25900
6929 AU 19,Audi,A2 1.4,75,courte,5,5,gris,false,18310
2048 HY 62,Mercedes,S500,306,tr�s longue,5,5,noir,false,101300
4011 RM 91,Dacia,Logan 1.6 MPI,90,moyenne,5,5,noir,false,7500
3902 AD 33,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,rouge,false,22900
6699 NY 90,Volvo,S80 T6,272,tr�s longue,5,5,bleu,false,50500
1343 DW 84,Audi,A2 1.4,75,courte,5,5,blanc,false,18310
8946 QF 91,Jaguar,X-Type 2.5 V6,197,longue,5,5,bleu,false,37100
5133 AA 29,Jaguar,X-Type 2.5 V6,197,longue,5,5,bleu,true,25970
8566 IB 25,BMW,M5,507,tr�s longue,5,5,noir,false,94800
7191 PY 19,BMW,M5,507,tr�s longue,5,5,bleu,true,66360
9438 PU 31,Renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,blanc,false,49200
3485 QR 47,Jaguar,X-Type 2.5 V6,197,longue,5,5,rouge,false,37100
1904 TI 31,Volvo,S80 T6,272,tr�s longue,5,5,bleu,true,35350
206 TL 98,Audi,A2 1.4,75,courte,5,5,bleu,false,18310
4793 QV 59,Jaguar,X-Type 2.5 V6,197,longue,5,5,noir,false,37100
5616 XC 66,Saab,9.3 1.8T,150,longue,5,5,bleu,false,38600
8452 WC 10,Audi,A2 1.4,75,courte,5,5,noir,true,12817
7928 ON 19,Mercedes,S500,306,tr�s longue,5,5,gris,true,70910
5553 UZ 11,Jaguar,X-Type 2.5 V6,197,longue,5,5,gris,false,37100
1789 YT 50,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,bleu,false,22900
5184 IA 76,Skoda,Superb 2.8 V6,193,tr�s longue,5,5,bleu,false,31790
7913 PN 87,Audi,A2 1.4,75,courte,5,5,bleu,true,12817
339 HG 37,Ford,Mondeo 1.8,125,longue,5,5,rouge,true,16730
8871 CR 16,Jaguar,X-Type 2.5 V6,197,longue,5,5,rouge,false,37100
6047 QC 74,Mercedes,S500,306,tr�s longue,5,5,blanc,true,70910
3349 ZD 22,Daihatsu,Cuore 1.0,58,courte,5,3,noir,false,8850
7866 BB 33,Mercedes,S500,306,tr�s longue,5,5,blanc,true,70910
1187 EC 33,Mercedes,S500,306,tr�s longue,5,5,rouge,true,70910
2334 MT 43,Mercedes,S500,306,tr�s longue,5,5,bleu,true,70910
8738 OH 10,BMW,M5,507,tr�s longue,5,5,noir,false,94800
8772 SC 40,Volvo,S80 T6,272,tr�s longue,5,5,rouge,false,50500
6790 SX 60,Audi,A2 1.4,75,courte,5,5,bleu,false,18310
7738 WG 76,Volvo,S80 T6,272,tr�s longue,5,5,gris,true,35350
5972 LP 13,Jaguar,X-Type 2.5 V6,197,longue,5,5,blanc,false,37100
2973 UM 49,Audi,A2 1.4,75,courte,5,5,noir,true,12817
2116 DR 41,Jaguar,X-Type 2.5 V6,197,longue,5,5,rouge,false,37100
6959 RJ 16,BMW,M5,507,tr�s longue,5,5,bleu,false,94800
735 PE 43,BMW,M5,507,tr�s longue,5,5,noir,false,94800
8081 CX 36,Saab,9.3 1.8T,150,longue,5,5,blanc,true,27020
1473 TS 33,Audi,A2 1.4,75,courte,5,5,blanc,false,18310
2233 TD 58,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,noir,false,22900
4216 GM 15,Saab,9.3 1.8T,150,longue,5,5,blanc,false,38600
7502 ZD 73,Skoda,Superb 2.8 V6,193,tr�s longue,5,5,gris,false,31790
3442 CC 63,Saab,9.3 1.8T,150,longue,5,5,bleu,true,27020
7270 OK 92,Skoda,Superb 2.8 V6,193,tr�s longue,5,5,blanc,false,31790
243 RM 45,Volvo,S80 T6,272,tr�s longue,5,5,noir,false,50500
3534 HB 39,Audi,A2 1.4,75,courte,5,5,gris,false,18310
828 XE 74,Saab,9.3 1.8T,150,longue,5,5,gris,true,27020
5986 MS 57,Jaguar,X-Type 2.5 V6,197,longue,5,5,rouge,false,37100
5220 UK 64,Mercedes,S500,306,tr�s longue,5,5,bleu,true,70910
9711 ME 83,Renault,Laguna 2.0T,170,longue,5,5,bleu,false,27300
6867 NO 63,Kia,Picanto 1.1,65,courte,5,5,blanc,false,8990
9112 MR 73,Renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,bleu,false,49200
4001 UZ 42,Saab,9.3 1.8T,150,longue,5,5,rouge,false,38600
8446 HF 44,Ford,Mondeo 1.8,125,longue,5,5,blanc,false,23900
2763 LF 18,Renault,Megane 2.0 16V,135,moyenne,5,5,rouge,false,22350
6694 LE 46,Ford,Mondeo 1.8,125,longue,5,5,blanc,false,23900
5358 NI 57,Saab,9.3 1.8T,150,longue,5,5,rouge,true,27020
8407 BN 19,BMW,M5,507,tr�s longue,5,5,rouge,false,94800
6362 UM 10,BMW,M5,507,tr�s longue,5,5,blanc,false,94800
9992 PW 96,Daihatsu,Cuore 1.0,58,courte,5,3,noir,false,8850
9055 AQ 85,Jaguar,X-Type 2.5 V6,197,longue,5,5,gris,true,25970
4806 TW 83,BMW,M5,507,tr�s longue,5,5,gris,false,94800
7090 OD 12,BMW,M5,507,tr�s longue,5,5,bleu,false,94800
9547 GZ 12,Audi,A3 2.0 FSI,150,moyenne,5,5,blanc,true,19950
3097 LF 79,Renault,Laguna 2.0T,170,longue,5,5,rouge,false,27300
8968 MV 19,Renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,rouge,false,49200
7050 YG 94,Nissan,Maxima 3.0 V6,200,tr�s longue,5,5,noir,false,30000
7579 FJ 75,Jaguar,X-Type 2.5 V6,197,longue,5,5,noir,true,25970
9312 GV 50,Audi,A2 1.4,75,courte,5,5,gris,false,18310
9353 DG 63,Ford,Mondeo 1.8,125,longue,5,5,bleu,false,23900
7781 VC 87,Audi,A2 1.4,75,courte,5,5,rouge,true,12817
6133 JJ 82,Volkswagen,Polo 1.2 6V,55,courte,5,3,blanc,false,12200
5785 US 84,BMW,M5,507,tr�s longue,5,5,blanc,false,94800
2230 VQ 13,BMW,120i,150,moyenne,5,5,noir,true,25060
5481 SP 78,Jaguar,X-Type 2.5 V6,197,longue,5,5,noir,false,37100
9893 ZN 58,Renault,Laguna 2.0T,170,longue,5,5,gris,true,19110
840 NC 58,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,rouge,true,16029
1532 XR 95,Seat,Toledo 1.6,102,longue,5,5,bleu,false,18880
6713 OW 57,Jaguar,X-Type 2.5 V6,197,longue,5,5,gris,false,37100
8791 TZ 28,Audi,A2 1.4,75,courte,5,5,rouge,false,18310
5137 HS 53,Volkswagen,Polo 1.2 6V,55,courte,5,3,blanc,false,12200
7782 PQ 51,Volkswagen,Polo 1.2 6V,55,courte,5,3,blanc,false,12200
8521 VW 93,Skoda,Superb 2.8 V6,193,tr�s longue,5,5,blanc,false,31790
6569 FE 86,Skoda,Superb 2.8 V6,193,tr�s longue,5,5,rouge,false,31790
3002 CN 25,Volvo,S80 T6,272,tr�s longue,5,5,bleu,false,50500
2178 QN 96,Renault,Megane 2.0 16V,135,moyenne,5,5,blanc,false,22350
7632 ZR 65,Volkswagen,Polo 1.2 6V,55,courte,5,3,noir,false,12200
3174 PL 70,Fiat,Croma 2.2,147,longue,5,5,noir,false,24780
423 JT 25,BMW,M5,507,tr�s longue,5,5,blanc,true,66360
9979 PR 52,Renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,bleu,false,49200
8928 PT 88,Audi,A2 1.4,75,courte,5,5,gris,false,18310
6283 AQ 92,Saab,9.3 1.8T,150,longue,5,5,rouge,false,38600
3612 FO 89,Renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,bleu,true,34440
8672 NI 48,Jaguar,X-Type 2.5 V6,197,longue,5,5,gris,false,37100
8911 OP 82,Fiat,Croma 2.2,147,longue,5,5,bleu,true,17346
6117 XY 65,Jaguar,X-Type 2.5 V6,197,longue,5,5,gris,false,37100
8334 YN 48,Jaguar,X-Type 2.5 V6,197,longue,5,5,blanc,false,37100
2154 MO 64,BMW,M5,507,tr�s longue,5,5,noir,true,66360
609 YB 61,Renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,gris,true,34440
3360 HK 95,Volvo,S80 T6,272,tr�s longue,5,5,gris,false,50500
