situationFamiliale,age,sexe,taux,nbEnfantsAcharge,puissance,nbPlaces,nbPortes
Célibataire,26,1,245,1,115,5,5
Célibataire,20,1,1341,1,150,5,5
Célibataire,30,1,946,1,75,5,5
En Couple,44,1,990,1,197,5,5
Célibataire,35,1,536,1,115,5,5
Célibataire,45,1,178,1,135,5,5
Célibataire,31,1,407,1,75,5,5
Célibataire,27,0,402,1,55,5,3
En Couple,51,1,552,1,147,5,5
Célibataire,58,1,550,1,55,5,3
Célibataire,55,1,0,1,135,5,5
Célibataire,23,1,734,1,150,5,5
En Couple,78,1,526,1,306,5,5
Célibataire,69,1,550,1,136,5,5
En Couple,59,1,224,1,170,5,5
En Couple,75,1,1224,1,306,5,5
Célibataire,84,1,517,1,136,5,5
En Couple,25,1,838,1,507,5,5
Célibataire,50,1,1311,1,75,5,5
En Couple,40,1,423,1,170,5,5
En Couple,63,1,498,1,75,5,5
En Couple,46,1,786,1,75,5,5
En Couple,83,1,234,1,125,5,5
Célibataire,45,1,1341,1,75,5,5
En Couple,63,1,429,1,306,5,5
Célibataire,52,1,202,1,90,5,5
En Couple,28,1,1294,1,507,5,5
En Couple,37,1,591,1,75,5,5
Seule,19,1,1175,1,197,5,5
En Couple,37,1,574,1,147,5,5
En Couple,44,1,195,1,272,5,5
En Couple,25,1,150,1,125,5,5
Célibataire,83,1,472,1,75,5,5
Célibataire,41,1,733,1,75,5,5
En Couple,49,1,501,1,272,5,5
En Couple,34,1,518,1,75,5,5
Seule,59,1,987,1,197,5,5
En Couple,25,1,1327,1,197,5,5
En Couple,50,1,594,1,245,5,5
Seule,83,1,581,1,306,5,5
En Couple,28,1,518,1,197,5,5
En Couple,81,1,527,1,306,5,5
En Couple,56,1,467,1,125,5,5
En Couple,25,1,203,1,147,5,5
En Couple,28,1,760,1,507,5,5
En Couple,40,1,433,1,197,5,5
En Couple,73,1,817,1,150,5,5
Célibataire,81,1,563,1,136,5,5
Célibataire,23,1,584,1,150,5,5
Célibataire,31,1,182,1,75,5,5
En Couple,60,1,1394,1,507,5,5
En Couple,43,1,227,1,170,5,5
En Couple,58,1,440,1,75,5,5
Célibataire,44,1,1156,1,75,5,5
En Couple,46,1,1307,1,507,5,5
En Couple,27,1,546,1,125,5,5
Célibataire,40,1,247,1,135,5,5
En Couple,18,1,895,1,507,5,5
En Couple,50,1,183,1,170,5,5
En Couple,40,1,1356,1,507,5,5
En Couple,51,1,408,1,75,5,5
En Couple,72,1,497,1,306,5,5
En Couple,33,1,212,1,245,5,5
Célibataire,77,1,499,1,136,5,5
En Couple,63,1,170,1,102,5,5
Célibataire,42,1,929,1,75,5,5
En Couple,23,1,808,1,507,5,5
En Couple,37,1,944,1,75,5,5
En Couple,23,1,595,1,245,5,5
En Couple,50,1,499,1,245,5,5
Célibataire,27,1,955,1,75,5,5
En Couple,32,1,505,1,245,5,5
Célibataire,21,1,577,1,55,5,3
Seule,43,1,971,1,197,5,5
En Couple,37,1,513,1,75,5,5
Célibataire,28,1,748,1,75,5,5
En Couple,32,1,214,1,245,5,5
En Couple,56,1,207,1,170,5,5
Célibataire,58,1,549,1,75,5,5
En Couple,25,1,1112,1,197,5,5
En Couple,47,1,537,1,272,5,5
En Couple,83,1,1046,1,306,5,5
En Couple,59,1,913,1,507,5,5
En Couple,33,1,1190,1,507,5,5
En Couple,31,1,778,1,507,5,5
Célibataire,22,1,459,1,75,5,5
Célibataire,59,1,469,1,135,5,5
En Couple,42,1,438,1,272,5,5
En Couple,32,1,576,1,125,5,5
En Couple,33,1,501,1,170,5,5
En Couple,20,1,587,1,272,5,5
En Couple,25,1,1377,1,507,5,5
En Couple,56,1,160,1,245,5,5
En Couple,26,1,1201,1,197,5,5
En Couple,81,1,497,1,306,5,5
En Couple,30,1,440,1,125,5,5
En Couple,25,1,877,1,197,5,5
En Couple,45,1,408,1,75,5,5
En Couple,47,1,440,1,272,5,5
Seul,69,1,714,1,75,5,5
Célibataire,62,1,174,1,90,5,5
En Couple,38,1,587,1,75,5,5
En Couple,53,1,220,1,55,5,3
En Couple,84,1,484,1,150,5,5
En Couple,42,1,473,1,272,5,5
En Couple,43,1,861,1,197,5,5
Célibataire,67,1,780,1,75,5,5
En Couple,66,1,996,1,150,5,5
En Couple,29,1,909,1,197,5,5
Célibataire,52,1,1155,1,75,5,5
En Couple,29,1,1188,1,197,5,5
En Couple,23,1,422,1,197,5,5
En Couple,29,1,491,1,272,5,5
En Couple,53,1,541,1,272,5,5
En Couple,39,1,493,1,245,5,5
En Couple,64,1,447,1,306,5,5
En Couple,25,1,489,1,507,5,5
En Couple,22,1,155,1,272,5,5
Célibataire,34,1,729,1,75,5,5
Célibataire,28,1,184,1,75,5,5
Seule,27,1,474,1,272,5,5
En Couple,47,1,1176,1,197,5,5
En Couple,56,1,1040,1,507,5,5
Célibataire,30,1,408,1,75,5,5
En Couple,74,1,595,1,306,5,5
En Couple,57,1,1237,1,197,5,5
Célibataire,20,1,237,1,55,5,3
En Couple,22,1,176,1,245,5,5
En Couple,36,1,595,1,272,5,5
En Couple,42,1,406,1,507,5,5
En Couple,24,1,419,1,507,5,5
En Couple,26,1,413,1,272,5,5
Célibataire,64,1,850,1,136,5,5
Célibataire,21,1,226,1,75,5,5
En Couple,47,1,421,1,245,5,5
En Couple,21,1,496,1,507,5,5
Célibataire,41,1,162,1,150,5,5
En Couple,83,1,479,1,150,5,5
En Couple,22,1,800,1,75,5,5
Seule,43,1,524,1,147,5,5
Célibataire,60,1,1256,1,75,5,5
En Couple,44,1,159,1,193,5,5
En Couple,52,1,564,1,197,5,5
Célibataire,51,1,408,1,75,5,5
En Couple,27,1,732,1,197,5,5
En Couple,40,1,401,1,115,5,5
Célibataire,19,1,152,1,115,5,5
Célibataire,29,1,709,1,75,5,5
En Couple,64,1,469,1,75,5,5
En Couple,18,1,578,1,170,5,5
En Couple,23,1,220,1,193,5,5
En Couple,24,1,437,1,75,5,5
Célibataire,42,1,185,1,135,5,5
En Couple,82,1,535,1,306,5,5
En Couple,19,1,215,1,272,5,5
En Couple,37,1,432,1,75,5,5
En Couple,20,1,549,1,197,5,5
Célibataire,35,1,527,1,75,5,5
En Couple,44,1,498,1,272,5,5
En Couple,51,1,824,1,507,5,5
Célibataire,58,1,1358,1,75,5,5
En Couple,46,1,180,1,58,5,3
En Couple,32,1,555,1,507,5,5
En Couple,52,1,538,1,272,5,5
Célibataire,76,1,1225,1,136,5,5
Célibataire,57,1,465,1,55,5,3
Célibataire,31,1,211,1,75,5,5
En Couple,51,1,186,1,245,5,5
En Couple,43,1,487,1,197,5,5
Célibataire,65,1,532,1,75,5,5
Célibataire,19,1,572,1,150,5,5
Seule,52,1,510,1,197,5,5
En Couple,35,1,183,1,193,5,5
En Couple,33,1,200,1,170,5,5
En Couple,67,1,150,1,272,5,5
Seule,68,1,234,1,170,5,5
Célibataire,20,1,522,1,135,5,5
Célibataire,60,1,585,1,150,5,5
Célibataire,51,1,594,1,150,5,5
Célibataire,43,1,1363,1,75,5,5
Célibataire,41,1,880,1,75,5,5
En Couple,81,1,460,1,306,5,5
En Couple,83,1,505,1,55,5,3
En Couple,19,0,716,1,197,5,5
En Couple,28,1,236,1,245,5,5
En Couple,61,0,153,1,65,5,5
Célibataire,56,1,445,1,75,5,5
En Couple,49,1,1060,1,197,5,5
Seule,37,1,426,1,245,5,5
Seule,41,1,1293,1,197,5,5
Seule,42,1,566,1,147,5,5
En Couple,73,1,472,1,75,5,5
En Couple,25,1,587,1,197,5,5
Célibataire,38,1,765,1,75,5,5
Célibataire,36,1,547,1,55,5,3
En Couple,62,1,194,1,272,5,5
En Couple,46,1,199,1,58,5,3
Célibataire,23,1,1038,1,75,5,5
En Couple,19,1,556,1,245,5,5
Célibataire,59,1,179,1,58,5,3
En Couple,28,1,401,1,197,5,5
Célibataire,55,1,565,1,150,5,5
En Couple,57,1,440,1,507,5,5
En Couple,30,1,1060,1,507,5,5
En Couple,81,1,940,1,306,5,5
En Couple,51,1,457,1,245,5,5
En Couple,20,1,1340,1,197,5,5
En Couple,83,1,1028,1,75,5,5
En Couple,48,1,473,1,75,5,5
En Couple,64,1,829,1,150,5,5
En Couple,19,1,402,1,125,5,5
En Couple,59,1,457,1,245,5,5
En Couple,81,1,546,1,306,5,5
Célibataire,56,1,870,1,75,5,5
Seule,29,1,458,1,170,5,5
Célibataire,27,1,497,1,135,5,5
Célibataire,50,1,422,1,75,5,5
Seule,48,1,455,1,197,5,5
En Couple,54,1,223,1,109,5,5
En Couple,50,1,784,1,507,5,5
Célibataire,35,1,506,1,150,5,5
En Couple,21,1,835,1,507,5,5
En Couple,28,0,483,1,170,5,5
En Couple,26,1,229,1,65,5,5
En Couple,22,1,947,1,507,5,5
En Couple,74,1,513,1,150,5,5
En Couple,53,1,1005,1,507,5,5
En Couple,59,1,209,1,55,5,3
En Couple,56,1,441,1,170,5,5
En Couple,55,1,448,1,147,5,5
Célibataire,22,1,519,1,55,5,3
En Couple,44,1,1324,1,197,5,5
En Couple,68,1,489,1,75,5,5
En Couple,66,1,429,1,306,5,5
En Couple,21,1,1236,1,507,5,5
En Couple,35,1,404,1,75,5,5
Seule,32,1,172,1,170,5,5
En Couple,18,1,464,1,170,5,5
En Couple,52,1,1275,1,197,5,5
En Couple,23,1,227,1,193,5,5
Célibataire,67,1,535,1,136,5,5
En Couple,53,1,760,1,197,5,5
Célibataire,22,1,1208,1,75,5,5
En Couple,59,1,474,1,147,5,5
En Couple,39,1,246,1,200,5,5
En Couple,37,1,803,1,197,5,5
En Couple,52,1,408,1,170,5,5
En Couple,72,1,203,1,245,5,5
Célibataire,52,1,249,1,135,5,5
En Couple,20,1,575,1,272,5,5
En Couple,30,1,748,1,197,5,5
Célibataire,40,1,1139,1,75,5,5
Seule,20,1,227,1,102,5,5
En Couple,57,1,1121,1,507,5,5
Célibataire,18,1,453,1,75,5,5
En Couple,24,1,192,1,193,5,5
En Couple,32,1,586,1,272,5,5
En Couple,56,1,1089,1,197,5,5
En Couple,38,1,559,1,197,5,5
Célibataire,39,1,1119,1,75,5,5
Célibataire,52,1,443,1,75,5,5
Célibataire,24,1,922,1,75,5,5
Célibataire,20,1,407,1,75,5,5
En Couple,23,1,504,1,147,5,5
En Couple,20,1,440,1,55,5,3
En Couple,22,0,727,1,507,5,5
Seule,49,1,234,1,125,5,5
En Couple,24,1,943,1,507,5,5
Seule,26,1,237,1,193,5,5
Célibataire,21,1,1084,1,75,5,5
En Couple,21,1,1319,1,507,5,5
Seule,25,1,468,1,507,5,5
En Couple,55,1,228,1,170,5,5
En Couple,52,1,1230,1,507,5,5
En Couple,81,0,541,1,150,5,5
Seule,27,1,203,1,125,5,5
En Couple,38,1,1051,1,75,5,5
En Couple,38,1,467,1,55,5,3
En Couple,74,1,431,1,150,5,5
En Couple,76,1,594,1,150,5,5
Célibataire,26,1,241,1,135,5,5
En Couple,24,1,162,1,200,5,5
Célibataire,23,1,450,1,55,5,3
En Couple,57,1,249,1,109,5,5
Célibataire,63,1,1260,1,115,5,5
En Couple,31,1,171,1,102,5,5
En Couple,69,1,576,1,306,5,5
En Couple,43,1,854,1,507,5,5
Célibataire,27,1,236,1,58,5,3
En Couple,39,1,1374,1,197,5,5
En Couple,25,1,1018,1,507,5,5
En Couple,46,1,1048,1,75,5,5
En Couple,20,1,498,1,507,5,5
En Couple,57,1,431,1,507,5,5
Célibataire,27,1,911,1,75,5,5
En Couple,29,1,909,1,507,5,5
En Couple,30,1,593,1,245,5,5
En Couple,76,1,453,1,150,5,5
En Couple,68,1,1344,1,306,5,5
En Couple,29,1,1083,1,507,5,5
En Couple,66,1,528,1,150,5,5
1,65,1,718,1,75,5,5
Célibataire,32,1,491,1,75,5,5
En Couple,71,1,470,1,306,5,5
Marié(e),48,1,1331,1,197,5,5
En Couple,18,1,539,1,125,5,5
En Couple,22,1,533,1,272,5,5
En Couple,44,1,1069,1,197,5,5
En Couple,47,1,451,1,245,5,5
Célibataire,52,1,575,1,150,5,5
En Couple,84,1,580,1,306,5,5
Célibataire,50,1,453,1,115,5,5
En Couple,31,1,412,1,170,5,5
En Couple,37,1,559,1,272,5,5
Célibataire,80,1,871,1,75,5,5
Célibataire,30,1,198,1,150,5,5
Célibataire,35,1,773,1,75,5,5
En Couple,58,1,1221,1,507,5,5
En Couple,29,1,1253,1,507,5,5
En Couple,24,1,437,1,272,5,5
Célibataire,58,1,409,1,135,5,5
En Couple,31,1,460,1,197,5,5
Célibataire,38,1,1336,1,75,5,5
En Couple,36,1,193,1,109,5,5
En Couple,26,1,583,1,245,5,5
En Couple,19,1,575,1,245,5,5
En Couple,18,1,209,1,193,5,5
En Couple,30,1,554,1,245,5,5
En Couple,30,1,1246,1,197,5,5
En Couple,22,1,408,1,272,5,5
En Couple,57,1,418,1,272,5,5
Célibataire,32,1,440,1,135,5,5
En Couple,22,1,572,1,75,5,5
En Couple,61,1,478,1,306,5,5
Célibataire,40,1,530,1,150,5,5
Célibataire,47,1,1351,1,75,5,5
Célibataire,56,1,1283,1,75,5,5
En Couple,51,1,435,1,197,5,5
Célibataire,32,1,231,1,65,5,5
Célibataire,51,1,765,1,75,5,5
En Couple,47,1,594,1,507,5,5
Célibataire,40,1,464,1,135,5,5
Célibataire,65,1,565,1,136,5,5
Célibataire,66,1,540,1,136,5,5
En Couple,21,1,992,1,197,5,5
Célibataire,53,1,453,1,150,5,5
En Couple,48,1,831,1,197,5,5
En Couple,45,1,849,1,75,5,5
En Couple,28,1,580,1,272,5,5
Célibataire,82,1,720,1,75,5,5
Célibataire,55,0,1399,1,75,5,5
En Couple,72,1,1232,1,150,5,5
En Couple,58,1,525,1,245,5,5
Célibataire,50,1,582,1,55,5,3
Célibataire,54,1,246,1,55,5,3
En Couple,66,1,502,1,306,5,5
En Couple,60,1,419,1,75,5,5
En Couple,72,1,540,1,306,5,5
En Couple,24,1,529,1,197,5,5
Célibataire,45,1,494,1,150,5,5
Célibataire,22,1,1327,1,75,5,5
En Couple,33,1,595,1,507,5,5
En Couple,43,1,1045,1,197,5,5
En Couple,41,1,177,1,272,5,5
En Couple,33,1,461,1,75,5,5
En Couple,84,1,248,1,193,5,5
En Couple,61,1,436,1,150,5,5
En Couple,31,1,170,1,109,5,5
Célibataire,21,1,730,1,75,5,5
En Couple,25,1,1016,1,507,5,5
En Couple,61,1,228,1,245,5,5
Célibataire,68,0,186,1,55,5,3
Célibataire,22,1,1343,1,75,5,5
Célibataire,39,1,1310,1,75,5,5
Célibataire,80,1,544,1,75,5,5
En Couple,27,1,743,1,507,5,5
Célibataire,19,1,457,1,75,5,5
En Couple,23,1,492,1,147,5,5
En Couple,31,1,199,1,65,5,5
Célibataire,66,1,210,1,150,5,5
En Couple,44,1,867,1,507,5,5
En Couple,24,1,574,1,75,5,5
Seule,27,1,590,1,75,5,5
Seule,27,1,590,1,125,5,5
En Couple,72,1,522,1,306,5,5
En Couple,22,1,722,1,197,5,5
En Couple,22,1,578,1,272,5,5
En Couple,63,1,406,1,150,5,5
Seule,24,1,174,1,102,5,5
En Couple,55,1,845,1,197,5,5
Célibataire,32,1,431,1,75,5,5
En Couple,27,1,1008,1,75,5,5
En Couple,23,1,560,1,272,5,5
En Couple,1,1,419,1,245,5,5
En Couple,57,1,598,1,507,5,5
Célibataire,22,1,234,1,135,5,5
En Couple,43,1,220,1,200,5,5
En Couple,36,1,206,1,245,5,5
Célibataire,36,1,1061,1,75,5,5
En Couple,37,1,194,1,58,5,3
En Couple,43,1,1044,1,197,5,5
En Couple,40,1,927,1,197,5,5
En Couple,23,1,936,1,507,5,5
Célibataire,30,1,473,1,150,5,5
En Couple,28,1,510,1,507,5,5
0,64,1,556,1,306,5,5
Célibataire,44,1,728,1,75,5,5
Célibataire,52,1,165,1,135,5,5
En Couple,33,1,211,1,147,5,5
En Couple,61,1,482,1,306,5,5
Célibataire,39,1,523,1,150,5,5
Célibataire,20,1,498,1,75,5,5
Célibataire,36,1,595,1,75,5,5
Célibataire,23,1,477,1,150,5,5
En Couple,79,1,505,1,306,5,5
En Couple,51,1,1064,1,507,5,5
En Couple,75,1,962,1,75,5,5
Célibataire,24,1,759,1,75,5,5
En Couple,33,1,431,1,170,5,5
Seul,59,1,169,1,115,5,5
En Couple,23,1,458,1,272,5,5
En Couple,51,1,913,1,507,5,5
Célibataire,51,1,448,1,75,5,5
En Couple,73,1,1086,1,75,5,5
En Couple,24,1,402,1,272,5,5
Célibataire,24,1,599,1,55,5,3
En Couple,51,1,534,1,272,5,5
En Couple,46,1,442,1,125,5,5
En Couple,57,1,532,1,197,5,5
Célibataire,50,1,1355,1,75,5,5
En Couple,47,1,477,1,55,5,3
Célibataire,46,1,508,1,135,5,5
En Couple,45,1,1371,1,197,5,5
En Couple,41,1,571,1,507,5,5
Célibataire,60,1,451,1,150,5,5
En Couple,57,1,570,1,245,5,5
Célibataire,73,1,594,1,136,5,5
En Couple,23,1,551,1,245,5,5
Seule,40,1,568,1,245,5,5
En Couple,44,1,401,1,197,5,5
Célibataire,24,1,930,1,75,5,5
En Couple,30,1,1011,1,507,5,5
Célibataire,26,1,228,1,55,5,3
