age,sexe,taux,situationFamiliale,nbEnfantsAcharge,2eme voiture,immatriculation,immatriculation,marque,nom,puissance,longueur,nbPlaces,nbPortes,couleur,occasion,prix
29,M,454,C�libataire,0,false,8725 XK 18,8725 XK 18,Audi,A2 1.4,75,courte,5,5,bleu,true,12817
20,Masculin,920,En Couple,0,false,9395 YV 42,9395 YV 42,BMW,M5,507,tr�s longue,5,5,bleu,false,94800
27,M,528,C�libataire,0,false,9572 XR 55,9572 XR 55,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,bleu,false,22900
45,F,229,En Couple,2,false,4289 YU 76,4289 YU 76,Nissan,Primera 1.6,109,longue,5,5,blanc,false,18650
30,M,209,En Couple,1,false,4981 TT 57,4981 TT 57,Nissan,Maxima 3.0 V6,200,tr�s longue,5,5,gris,false,30000
49,M,795,Seule,2,false,8981 JS 35,8981 JS 35,BMW,M5,507,tr�s longue,5,5,noir,false,94800
34,M,1209,En Couple,2,false,353 VN 28,353 VN 28,Jaguar,X-Type 2.5 V6,197,longue,5,5,gris,false,37100
65,M,1053,En Couple,1,false,3570 OX 48,3570 OX 48,Mercedes,S500,306,tr�s longue,5,5,blanc,false,101300
30,F,248,C�libataire,0,false,5155 OJ 36,5155 OJ 36,Renault,Megane 2.0 16V,135,moyenne,5,5,rouge,true,15644
54,M,799,C�libataire,0,false,316 MA 20,316 MA 20,Audi,A2 1.4,75,courte,5,5,rouge,false,18310
24,F,216,C�libataire,0,false,2969 EB 96,2969 EB 96,Dacia,Logan 1.6 MPI,90,moyenne,5,5,blanc,false,7500
55,M,192,C�libataire,0,false,3081 AT 10,3081 AT 10,Volkswagen,Polo 1.2 6V,55,courte,5,3,bleu,true,8540
28,F,421,En Couple,4,true,3234 QX 57,3234 QX 57,Renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,bleu,false,49200
64,M,411,C�libataire,0,false,9618 FL 57,9618 FL 57,Peugeot,1007 1.4,75,courte,5,5,rouge,false,13750
26,M,861,En Couple,0,false,1729 WE 27,1729 WE 27,BMW,M5,507,tr�s longue,5,5,gris,false,94800
37,M,150,En Couple,0,false,2290 UK 19,2290 UK 19,Nissan,Maxima 3.0 V6,200,tr�s longue,5,5,blanc,false,30000
19,M,555,En Couple,1,false,3688 VO 62,3688 VO 62,BMW,M5,507,tr�s longue,5,5,rouge,true,66360
76,M,187,En Couple,0,false,3605 OQ 75,3605 OQ 75,Seat,Toledo 1.6,102,longue,5,5,rouge,false,18880
19,F,406,C�libataire,0,false,1054 WS 52,1054 WS 52,Volkswagen,Polo 1.2 6V,55,courte,5,3,noir,false,12200
59,F,458,En Couple,1,false,5274 PX 46,5274 PX 46,BMW,M5,507,tr�s longue,5,5,blanc,true,66360
26,M,438,En Couple,2,false,6089 NY 16,6089 NY 16,Jaguar,X-Type 2.5 V6,197,longue,5,5,blanc,true,25970
28,M,489,En Couple,2,false,5121 PA 86,5121 PA 86,Jaguar,X-Type 2.5 V6,197,longue,5,5,blanc,true,25970
55,M,519,En Couple,0,false,1556 MO 64,1556 MO 64,Ford,Mondeo 1.8,125,longue,5,5,blanc,false,23900
19,M,1111,En Couple,1,false,7630 FQ 18,7630 FQ 18,Jaguar,X-Type 2.5 V6,197,longue,5,5,blanc,false,37100
25,F,959,En Couple,2,false,1978 ST 23,1978 ST 23,Jaguar,X-Type 2.5 V6,197,longue,5,5,gris,false,37100
61,M,236,En Couple,1,false,3155 OC 98,3155 OC 98,Nissan,Primera 1.6,109,longue,5,5,rouge,false,18650
43,M,1058,C�libataire,0,false,344 CE 71,344 CE 71,Audi,A2 1.4,75,courte,5,5,blanc,false,18310
33,Masculin,220,C�libataire,0,false,5753 XY 84,5753 XY 84,Peugeot,1007 1.4,75,courte,5,5,bleu,true,9625
36,F,221,Seule,2,false,6734 MQ 27,6734 MQ 27,Skoda,Superb 2.8 V6,193,tr�s longue,5,5,noir,false,31790
39,M,568,C�libataire,0,false,9303 KH 85,9303 KH 85,Audi,A2 1.4,75,courte,5,5,gris,true,12817
55,M,480,En Couple,2,false,9566 UQ 47,9566 UQ 47,Fiat,Croma 2.2,147,longue,5,5,blanc,false,24780
51,M,792,En Couple,4,false,169 YT 42,169 YT 42,BMW,M5,507,tr�s longue,5,5,rouge,false,94800
22,M,176,En Couple,1,true,2283 BW 49,2283 BW 49,Volkswagen,Polo 1.2 6V,55,courte,5,3,bleu,true,8540
73,M,761,En Couple,2,false,3610 AA 32,3610 AA 32,Saab,9.3 1.8T,150,longue,5,5,bleu,false,38600
35,M,700,En Couple,2,false,7867 NW 17,7867 NW 17,Jaguar,X-Type 2.5 V6,197,longue,5,5,rouge,false,37100
25,M,164,En Couple,3,false,6313 ZI 19,6313 ZI 19,Renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,rouge,true,34440
24,M,910,C�libataire,0,false,5221 WO 72,5221 WO 72,Audi,A2 1.4,75,courte,5,5,bleu,false,18310
22,F,150,En Couple,0,false,4615 XJ 95,4615 XJ 95,Ford,Mondeo 1.8,125,longue,5,5,noir,true,16730
29,M,597,En Couple,3,false,1155 CJ 49,1155 CJ 49,BMW,M5,507,tr�s longue,5,5,blanc,true,66360
72,M,150,En Couple,0,false,9799 BP 83,9799 BP 83,Fiat,Croma 2.2,147,longue,5,5,blanc,true,17346
29,M,1353,C�libataire,0,false,8833 EW 25,8833 EW 25,Audi,A2 1.4,75,courte,5,5,noir,false,18310
73,M,439,C�libataire,0,false,6221 GS 61,6221 GS 61,Audi,A2 1.4,75,courte,5,5,blanc,true,12817
20,M,1221,En Couple,3,false,9563 WU 53,9563 WU 53,BMW,M5,507,tr�s longue,5,5,bleu,false,94800
23,M,519,En Couple,4,false,7615 UH 96,7615 UH 96,Renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,blanc,false,49200
44,M,428,C�libataire,0,false,6482 EN 76,6482 EN 76,Audi,A2 1.4,75,courte,5,5,rouge,true,12817
51,M,191,En Couple,2,false,6646 WQ 36,6646 WQ 36,Fiat,Croma 2.2,147,longue,5,5,gris,true,17346
35,M,595,C�libataire,0,false,6807 GY 87,6807 GY 87,Peugeot,1007 1.4,75,courte,5,5,rouge,false,13750
23,M,443,C�libataire,0,false,6941 FE 20,6941 FE 20,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,bleu,false,22900
80,F,476,C�libataire,0,false,5598 NI 97,5598 NI 97,Mercedes,A200,136,moyenne,5,5,rouge,true,18130
82,M,956,C�libataire,0,false,2720 HC 18,2720 HC 18,Audi,A2 1.4,75,courte,5,5,bleu,false,18310
53,M,961,Seule,2,false,1596 HK 75,1596 HK 75,BMW,M5,507,tr�s longue,5,5,bleu,false,94800
37,Masculin,430,En Couple,0,false,5806 EL 11,5806 EL 11,Fiat,Croma 2.2,147,longue,5,5,bleu,false,24780
60,M,908,En Couple,3,false,8857 BX 29,8857 BX 29,BMW,M5,507,tr�s longue,5,5,blanc,false,94800
 ,M,426,En Couple,1,false,1192 RE 88,1192 RE 88,Ford,Mondeo 1.8,125,longue,5,5,bleu,false,23900
56,M,185,C�libataire,0,false,63 RX 87,63 RX 87,Nissan,Almera 1.8,115,moyenne,5,5,noir,false,16450
71,M,560,C�libataire,0,false,3551 ND 59,3551 ND 59,Mercedes,A200,136,moyenne,5,5,blanc,true,18130
32,M,1331,En Couple,4,false,5496 YF 79,5496 YF 79,BMW,M5,507,tr�s longue,5,5,noir,false,94800
51,M,217,En Couple,0,true,7529 IY 26,7529 IY 26,Volkswagen,Polo 1.2 6V,55,courte,5,3,rouge,true,8540
45,F,412,En Couple,3,false,5027 KK 33,5027 KK 33,BMW,M5,507,tr�s longue,5,5,bleu,true,66360
76,M,477,En Couple,3,false,1739 SB 12,1739 SB 12,Mercedes,S500,306,tr�s longue,5,5,bleu,true,70910
45,M,511,En Couple,0,false,9294 HZ 70,9294 HZ 70,Renault,Laguna 2.0T,170,longue,5,5,noir,false,27300
52,M,590,En Couple,4,false,4096 FQ 86,4096 FQ 86,Volvo,S80 T6,272,tr�s longue,5,5,bleu,false,50500
75,M,747,En Couple,2,true,9629 QD 87,9629 QD 87,Audi,A2 1.4,75,courte,5,5,rouge,false,18310
22,Masculin,1146,En Couple,2,true,1536 ES 39,1536 ES 39,Audi,A2 1.4,75,courte,5,5,bleu,false,18310
45,M,220,En Couple,4,false,8930 IG 94,8930 IG 94,Skoda,Superb 2.8 V6,193,tr�s longue,5,5,gris,false,31790
51,M,533,En Couple,2,false,681 VR 59,681 VR 59,Fiat,Croma 2.2,147,longue,5,5,rouge,false,24780
50,M,525,C�libataire,0,false,2578 EE 95,2578 EE 95,Volkswagen,Polo 1.2 6V,55,courte,5,3,rouge,false,12200
21,F,537,En Couple,2,true,6618 OB 75,6618 OB 75,Audi,A2 1.4,75,courte,5,5,noir,true,12817
22,M,234,C�libataire,0,false,4470 WI 58,4470 WI 58,Dacia,Logan 1.6 MPI,90,moyenne,5,5,rouge,false,7500
57,F,1211,En Couple,4,false,7442 KC 22,7442 KC 22,BMW,M5,507,tr�s longue,5,5,gris,false,94800
74,M,461,En Couple,4,false,6390 TJ 28,6390 TJ 28,Mercedes,S500,306,tr�s longue,5,5,bleu,true,70910
58,M,467,En Couple,2,false,2853 HN 54,2853 HN 54,Volvo,S80 T6,272,tr�s longue,5,5,gris,false,50500
77,M,442,C�libataire,0,false,239 KB 87,239 KB 87,Mercedes,A200,136,moyenne,5,5,rouge,true,18130
18,M,163,En Couple,1,false,6263 YF 15,6263 YF 15,Renault,Laguna 2.0T,170,longue,5,5,rouge,true,19110
57,M,1077,En Couple,1,false,7694 MS 94,7694 MS 94,Jaguar,X-Type 2.5 V6,197,longue,5,5,blanc,false,37100
43,M,223,C�libataire,0,false,7534 IX 23,7534 IX 23,Peugeot,1007 1.4,75,courte,5,5,blanc,true,9625
34,F,527,En Couple,3,true,4243 FT 51,4243 FT 51,BMW,M5,507,tr�s longue,5,5,rouge,true,66360
19,M,1215,C�libataire,0,false,7443 OI 59,7443 OI 59,Audi,A2 1.4,75,courte,5,5,blanc,false,18310
44,M,196,C�libataire,0,false,6319 FD 94,6319 FD 94,Peugeot,1007 1.4,75,courte,5,5,noir,true,9625
41,M,411,Seule,3,false,2289 BB 41,2289 BB 41,Renault,Laguna 2.0T,170,longue,5,5,bleu,false,27300
33,F,496,Seule,1,false,7141 ZM 16,7141 ZM 16,Renault,Laguna 2.0T,170,longue,5,5,bleu,false,27300
37,M,?,C�libataire,0,false,8980 MQ 19,8980 MQ 19,Peugeot,1007 1.4,75,courte,5,5,blanc,false,13750
41,M,1093,En Couple,3,false,8652 UC 55,8652 UC 55,BMW,M5,507,tr�s longue,5,5,bleu,false,94800
49,F,204,En Couple,4,false,1195 VI 10,1195 VI 10,Skoda,Superb 2.8 V6,193,tr�s longue,5,5,bleu,false,31790
19,M,166,C�libataire,0,false,9018 OM 75,9018 OM 75,Renault,Megane 2.0 16V,135,moyenne,5,5,gris,true,15644
26,M,510,Seule,2,false,7863 BN 30,7863 BN 30,Ford,Mondeo 1.8,125,longue,5,5,gris,false,23900
25,F,534,C�libataire,0,false,1114 JI 54,1114 JI 54,Renault,Megane 2.0 16V,135,moyenne,5,5,blanc,false,22350
26,M,167,En Couple,1,true,8537 CK 10,8537 CK 10,Peugeot,1007 1.4,75,courte,5,5,blanc,true,9625
46,M,504,C�libataire,0,false,7943 LC 56,7943 LC 56,Audi,A2 1.4,75,courte,5,5,bleu,true,12817
48,F,536,En Couple,0,false,4359 EV 67,4359 EV 67,Jaguar,X-Type 2.5 V6,197,longue,5,5,gris,true,25970
57,F,452,C�libataire,0,false,5646 IU 10,5646 IU 10,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,rouge,false,22900
61,M,519,En Couple,2,false,6726 RK 67,6726 RK 67,Mercedes,S500,306,tr�s longue,5,5,noir,true,70910
48,M,718,C�libataire,0,false,6735 IX 35,6735 IX 35,Audi,A2 1.4,75,courte,5,5,noir,false,18310
30,F,1148,C�libataire,0,false,8785 RJ 18,8785 RJ 18,Audi,A2 1.4,75,courte,5,5,bleu,false,18310
35,M,732,En Couple,4,false,2860 FH 97,2860 FH 97,BMW,M5,507,tr�s longue,5,5,rouge,false,94800
28,F,400,En Couple,1,true,4176 QU 64,4176 QU 64,Audi,A2 1.4,75,courte,5,5,bleu,true,12817
26,M,536,C�libataire,0,false,9176 CH 46,9176 CH 46,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,blanc,false,22900
56,F,170,En Couple,0,true,6129 GW 32,6129 GW 32,Daihatsu,Cuore 1.0,58,courte,5,3,noir,false,8850
21,M,218,En Couple,4,false,6713 FO 81,6713 FO 81,Nissan,Maxima 3.0 V6,200,tr�s longue,5,5,noir,false,30000
19,F,596,En Couple,0,false,1123 ZE 89,1123 ZE 89,Jaguar,X-Type 2.5 V6,197,longue,5,5,blanc,true,25970
78,F,891,C�libataire,0,false,1191 KT 51,1191 KT 51,Audi,A2 1.4,75,courte,5,5,rouge,false,18310
39,F,1078,En Couple,3,false,9973 MU 25,9973 MU 25,BMW,M5,507,tr�s longue,5,5,noir,false,94800
28,F,580,En Couple,3,true,58 RM 90,58 RM 90,BMW,M5,507,tr�s longue,5,5,bleu,true,66360
50,M,585,En Couple,2,true,2059 MV 88,2059 MV 88,Peugeot,1007 1.4,75,courte,5,5,bleu,false,13750
23,M,582,C�libataire,0,false,9118 OT 26,9118 OT 26,BMW,120i,150,moyenne,5,5,bleu,true,25060
77,F,713,C�libataire,0,false,9129 WP 23,9129 WP 23,Audi,A2 1.4,75,courte,5,5,rouge,false,18310
22,M,182,C�libataire,0,false,2034 ES 97,2034 ES 97,Peugeot,1007 1.4,75,courte,5,5,bleu,true,9625
