age,sexe,taux,situationFamiliale,nbEnfantsAcharge,2eme voiture,immatriculation
55,M,519,En Couple,0,false,1556 MO 64
19,M,1111,En Couple,1,false,7630 FQ 18
25,F,959,En Couple,2,false,1978 ST 23
61,M,236,En Couple,1,false,3155 OC 98
43,M,1058,C�libataire,0,false,344 CE 71
33,Masculin,220,C�libataire,0,false,5753 XY 84
36,F,221,Seule,2,false,6734 MQ 27
39,M,568,C�libataire,0,false,9303 KH 85
55,M,480,En Couple,2,false,9566 UQ 47
51,M,792,En Couple,4,false,169 YT 42
22,M,176,En Couple,1,true,2283 BW 49
73,M,761,En Couple,2,false,3610 AA 32
35,M,700,En Couple,2,false,7867 NW 17
25,M,164,En Couple,3,false,6313 ZI 19
24,M,910,C�libataire,0,false,5221 WO 72
22,F,150,En Couple,0,false,4615 XJ 95
29,M,597,En Couple,3,false,1155 CJ 49
72,M,150,En Couple,0,false,9799 BP 83
29,M,1353,C�libataire,0,false,8833 EW 25
73,M,439,C�libataire,0,false,6221 GS 61
20,M,1221,En Couple,3,false,9563 WU 53
23,M,519,En Couple,4,false,7615 UH 96
44,M,428,C�libataire,0,false,6482 EN 76
51,M,191,En Couple,2,false,6646 WQ 36
35,M,595,C�libataire,0,false,6807 GY 87
23,M,443,C�libataire,0,false,6941 FE 20
80,F,476,C�libataire,0,false,5598 NI 97
82,M,956,C�libataire,0,false,2720 HC 18
53,M,961,Seule,2,false,1596 HK 75
37,Masculin,430,En Couple,0,false,5806 EL 11
60,M,908,En Couple,3,false,8857 BX 29
 ,M,426,En Couple,1,false,1192 RE 88
56,M,185,C�libataire,0,false,63 RX 87
71,M,560,C�libataire,0,false,3551 ND 59
32,M,1331,En Couple,4,false,5496 YF 79
51,M,217,En Couple,0,true,7529 IY 26
45,F,412,En Couple,3,false,5027 KK 33
76,M,477,En Couple,3,false,1739 SB 12
45,M,511,En Couple,0,false,9294 HZ 70
52,M,590,En Couple,4,false,4096 FQ 86
75,M,747,En Couple,2,true,9629 QD 87
22,Masculin,1146,En Couple,2,true,1536 ES 39
45,M,220,En Couple,4,false,8930 IG 94
51,M,533,En Couple,2,false,681 VR 59
50,M,525,C�libataire,0,false,2578 EE 95
21,F,537,En Couple,2,true,6618 OB 75
22,M,234,C�libataire,0,false,4470 WI 58
57,F,1211,En Couple,4,false,7442 KC 22
74,M,461,En Couple,4,false,6390 TJ 28
58,M,467,En Couple,2,false,2853 HN 54
77,M,442,C�libataire,0,false,239 KB 87
18,M,163,En Couple,1,false,6263 YF 15
57,M,1077,En Couple,1,false,7694 MS 94
43,M,223,C�libataire,0,false,7534 IX 23
34,F,527,En Couple,3,true,4243 FT 51
19,M,1215,C�libataire,0,false,7443 OI 59
44,M,196,C�libataire,0,false,6319 FD 94
41,M,411,Seule,3,false,2289 BB 41
33,F,496,Seule,1,false,7141 ZM 16
37,M,?,C�libataire,0,false,8980 MQ 19
41,M,1093,En Couple,3,false,8652 UC 55
49,F,204,En Couple,4,false,1195 VI 10
19,M,166,C�libataire,0,false,9018 OM 75
26,M,510,Seule,2,false,7863 BN 30
25,F,534,C�libataire,0,false,1114 JI 54
26,M,167,En Couple,1,true,8537 CK 10
46,M,504,C�libataire,0,false,7943 LC 56
48,F,536,En Couple,0,false,4359 EV 67
57,F,452,C�libataire,0,false,5646 IU 10
61,M,519,En Couple,2,false,6726 RK 67
48,M,718,C�libataire,0,false,6735 IX 35
30,F,1148,C�libataire,0,false,8785 RJ 18
35,M,732,En Couple,4,false,2860 FH 97
28,F,400,En Couple,1,true,4176 QU 64
26,M,536,C�libataire,0,false,9176 CH 46
56,F,170,En Couple,0,true,6129 GW 32
21,M,218,En Couple,4,false,6713 FO 81
19,F,596,En Couple,0,false,1123 ZE 89
78,F,891,C�libataire,0,false,1191 KT 51
39,F,1078,En Couple,3,false,9973 MU 25
28,F,580,En Couple,3,true,58 RM 90
50,M,585,En Couple,2,true,2059 MV 88
23,M,582,C�libataire,0,false,9118 OT 26
77,F,713,C�libataire,0,false,9129 WP 23
22,M,182,C�libataire,0,false,2034 ES 97
53,Masculin,208,C�libataire,0,false,8373 BS 94
58,M,507,En Couple,3,false,7972 GO 38
29,M,877,C�libataire,0,false,5928 OF 22
19,F,549,C�libataire,0,false,7670 UM 75
40,M,247,C�libataire,0,false,1677 XE 39
20,M,499,En Couple,2,false,3484 OQ 83
58,F,479,C�libataire,0,false,1153 AP 35
26,M,585,C�libataire,0,false,5179 PG 50
51,M,1315,En Couple,2,false,8529 PA 15
21,M,544,En Couple,4,false,907 VQ 53
48,M,530,En Couple,4,true,9182 OS 90
28,F,599,En Couple,1,false,5846 RW 66
78,M,726,En Couple,4,false,9099 NQ 28
28,M,490,En Couple,0,false,3494 PZ 79
57,M,990,En Couple,3,true,317 FN 75
29,M,1057,En Couple,2,false,7466 RR 41
76,M,1293,Seule,3,false,3962 QW 38
27,F,1384,En Couple,2,true,1665 XL 10
23,M,461,En Couple,2,false,7178 XJ 90
26,M,?,En Couple,3,false,5356 OE 81
42,M,1043,En Couple,0,false,1481 MK 19
70,M,476,C�libataire,0,false,7872 OP 50
46,M,727,En Couple,0,false,1506 UA 33
31,F,448,En Couple,0,false,8177 VZ 47
33,M,598,En Couple,2,true,5701 RW 42
49,F,539,C�libataire,0,false,5144 ZK 45
25,M,193,En Couple,3,false,7265 SI 67
37,M,1300,En Couple,1,false,5358 SX 74
60,M,249,C�libataire,0,false,7850 OM 75
48,F,516,C�libataire,0,false,9918 YF 23
52,M,515,En Couple,4,false,2660 BW 35
51,M,185,En Couple,4,false,2486 RY 29
50,F,461,En Couple,1,false,3301 CJ 95
30,F,724,C�libataire,0,false,854 RQ 76
25,F,778,En Couple,1,true,9862 KS 63
71,M,161,C�libataire,0,false,6926 VQ 35
22,M,172,Seule,3,false,3522 UU 94
58,F,485,En Couple,4,true,404 DP 33
76,M,599,En Couple,0,false,278 MM 82
23,M,575,C�libataire,0,false,3484 DD 35
47,M,425,En Couple,2,true,1967 NI 17
29,M,220,C�libataire,0,false,4669 II 14
76,M,1077,En Couple,1,false,8926 KW 31
68,M,1067,En Couple,4,false,3506 HU 13
49,F,572,C�libataire,0,false,6326 FK 39
28,M,-1,C�libataire,0,false,2710 TU 20
36,M,196,C�libataire,0,false,8412 MY 20
80,M,505,En Couple,3,false,9078 CX 34
55,F,511,En Couple,2,false,2390 ZH 61
55,M,213,En Couple,3,false,2803 VY 79
30,F,1180,C�libataire,0,false,5052 WH 16
75,F,519,C�libataire,0,false,8077 UL 21
47,M,598,En Couple,3,false,5514 TV 82
23,F,581,En Couple,4,false,6616 AX 69
22,M,1050,En Couple,0,false,2283 CF 57
27,M,536,En Couple,1,false,5834 NC 82
42,F,592,En Couple,2,false,6895 IU 97
26,Femme,245,C�libataire,0,false,6282 CB 27
20,F,1341,C�libataire,0,false,3989 AV 87
30,M,946,C�libataire,0,false,3458 GO 10
44,M,990,En Couple,2,false,593 WW 52
35,F,536,C�libataire,0,false,9742 FI 38
45,F,178,C�libataire,0,false,9031 IZ 68
31,M,407,C�libataire,0,false,6731 IJ 69
27,Homme,402,C�libataire,0,false,6541 IN 45
51,M,552,En Couple,2,false,5752 YE 79
58,M,550,C�libataire,0,false,1564 PL 65
55,M,-1,C�libataire,0,false,2167 DU 47
23,F,734,C�libataire,0,false,6624 TY 30
78,F,526,En Couple,3,false,348 LC 56
69,F,550,C�libataire,0,false,2147 CY 94
59,M,224,En Couple,0,false,6684 CT 22
75,M,1224,En Couple,4,true,5349 OQ 58
84,F,517,C�libataire,0,false,1375 BR 93
25,M,838,En Couple,1,false,9430 EK 30
50,M,1311,C�libataire,0,false,351 GN 71
40,M,423,En Couple,0,false,250 SR 90
63,M,498,En Couple,0,true,8726 VI 85
46,M,786,En Couple,0,true,2228 GT 34
83,F,234,En Couple,0,false,6707 YB 34
45,M,1341,C�libataire,0,false,6426 RG 20
63,M,429,En Couple,3,false,7525 FP 44
52,M,202,C�libataire,0,false,8039 JA 83
28,M,1294,En Couple,3,false,5742 WC 66
37,M,591,En Couple,1,true,7603 RR 46
19,M,1175,Seule,3,false,4544 HA 79
37,M,574,En Couple,0,false,9517 RQ 76
44,M,195,En Couple,3,false,5699 KS 48
25,M,150,En Couple,0,false,3457 PT 87
83,M,472,C�libataire,0,false,9053 RX 82
41,M,733,C�libataire,0,false,4210 SP 48
49,M,501,En Couple,4,false,3335 YY 91
34,M,518,En Couple,0,true,9425 XA 25
59,M,987,Seule,2,false,6303 ZN 53
25,F,1327,En Couple,2,false,1826 QD 64
50,M,594,En Couple,3,false,3584 UI 72
83,M,581,Seule,1,false,8558 WG 28
28,M,518,En Couple,1,false,3162 IL 61
81,M,527,En Couple,4,false,4987 EL 50
56,M,467,En Couple,2,false,9680 ML 98
25,F,203,En Couple,1,false,7109 NC 40
28,F,760,En Couple,3,false,389 ZW 87
40,M,433,En Couple,1,false,7081 ZC 65
73,M,817,En Couple,1,false,6798 RX 98
81,M,563,C�libataire,0,false,9140 BZ 76
23,M,584,C�libataire,0,false,2866 FE 66
31,M,182,C�libataire,0,false,2311 RM 77
60,M,1394,En Couple,3,false,3004 GI 30
43,M,227,En Couple,0,false,7734 NU 89
58,M,440,En Couple,2,true,615 JV 97
44,M,1156,C�libataire,0,false,6644 IQ 78
46,M,1307,En Couple,2,false,3104 SI 50
27,F,546,En Couple,2,false,9383 QS 40
40,F,247,C�libataire,0,false,7112 CH 21
18,F,895,En Couple,3,false,3290 RL 21
50,M,183,En Couple,0,false,7487 XI 19
40,M,1356,En Couple,3,false,3653 VX 29
51,M,408,En Couple,0,true,4393 NV 79
72,F,497,En Couple,4,false,4087 SN 22
33,M,212,En Couple,2,false,4300 TA 28
77,F,499,C�libataire,0,false,716 FB 97
63,M,170,En Couple,1,false,4000 FD 91
42,F,929,C�libataire,0,false,7511 VF 95
23,M,808,En Couple,4,true,2429 QF 85
37,F,944,En Couple,0,true,3913 UT 81
23,M,595,En Couple,0,false,5872 GX 18
50,M,499,En Couple,0,false,8519 BZ 77
27,M,955,C�libataire,0,false,9189 JE 84
32,M,505,En Couple,3,false,423 UO 79
21,M,577,C�libataire,0,false,8222 SW 92
43,F,971,Seule,2,false,6307 OY 71
37,F,513,En Couple,0,true,970 VM 51
28,F,748,C�libataire,0,false,3748 LK 47
32,M,214,En Couple,4,false,8414 GA 12
56,M,207,En Couple,0,false,9703 TH 95
58,F,549,C�libataire,0,false,6207 OL 38
25,F,1112,En Couple,0,false,8443 NB 82
47,M,537,En Couple,4,true,6997 RI 39
83,M,1046,En Couple,3,false,8241 EN 23
59,F,913,En Couple,0,false,4650 QY 60
33,M,1190,En Couple,0,false,6842 MM 95
31,F,778,En Couple,3,false,7688 YA 39
22,F,459,C�libataire,0,false,316 QB 59
59,F,469,C�libataire,0,false,4558 ZL 49
42,M,438,En Couple,3,false,9597 UG 67
32,M,576,En Couple,2,false,2811 ET 73
33,M,501,En Couple,0,false,1013 FV 70
20,M,587,En Couple,1,false,9409 KZ 74
25,M,1377,En Couple,4,false,5680 FX 35
56,M,160,En Couple,3,true,4099 JG 18
26,M,1201,En Couple,0,false,8361 KI 58
81,M,497,En Couple,3,true,4870 TR 60
30,M,440,En Couple,2,false,3056 DO 89
25,M,877,En Couple,2,false,5715 SG 15
45,M,408,En Couple, ,true,1477 YN 25
47,M,440,En Couple,0,false,4595 GE 36
69,F,714,Seul,0,false,8298 BO 15
62,F,174,C�libataire,0,false,4881 ZB 39
38,F,587,En Couple,1,true,7539 XU 51
53,M,220,En Couple,0,true,4027 WH 51
84,M,484,En Couple,0,false,9945 WA 75
42,F,473,En Couple,1,false,545 ZJ 13
43,M,861,En Couple,1,false,9234 ZR 18
67,F,780,C�libataire,0,false,708 OG 59
66,M,996,En Couple,2,false,3131 SH 12
29,M,909,En Couple,1,false,6488 ZP 16
52,F,1155,C�libataire,0,false,4126 RG 79
29,M,1188,En Couple,0,false,2098 ME 31
23,M,422,En Couple,2,false,5483 FE 55
29,M,491,En Couple,1,false,2761 WG 59
53,M,541,En Couple,4,false,2131 JP 48
39,F,493,En Couple,4,false,8392 XC 38
64,M,447,En Couple,3,false,6615 EE 96
25,M,489,En Couple,3,true,2986 TP 49
22,M,155,En Couple,0,false,9101 GT 53
34,M,729,C�libataire,0,false,8845 QZ 15
28,M,184,C�libataire,0,false,5611 EU 89
27,M,474,Seule,2,false,9327 CI 67
47,F,1176,En Couple,0,false,1545 CD 51
56,M,1040,En Couple,3,false,627 IC 80
30,M,408,C�libataire,0,false,2531 KC 86
74,F,595,En Couple,1,false,9341 HT 27
57,M,1237,En Couple,0,false,1381 SG 38
20,M,237,C�libataire,0,false,4353 LU 51
22,M,176,En Couple,4,false,2748 LB 35
36,M,595,En Couple,0,false,4439 VE 38
42,F,406,En Couple,1,false,8763 UO 42
24,M,419,En Couple,1,false,8058 PJ 55
26,M,413,En Couple,4,false,9507 JL 21
64,M,850,C�libataire,0,false,7875 FM 14
21,F,226,C�libataire,0,false,761 FT 87
47,M,421,En Couple,0,false,4514 JN 31
21,F,496,En Couple,1,false,499 VE 29
41,M,162,C�libataire,0,false,3941 XX 16
83,F,479,En Couple,2,false,1147 GU 37
22,M,800,En Couple,1,true,9279 UO 26
43,M,524,Seule,3,false,9450 HF 74
60,M,1256,C�libataire,0,false,5154 DV 65
44,M,159,En Couple,2,false,1965 VW 19
52,F,564,En Couple,2,false,1572 VS 90
51,M,408,C�libataire,0,false,3028 UJ 29
27,M,732,En Couple,2,false,5661 DA 57
40,F,401,En Couple,0,true,7501 BF 64
19,M,152,C�libataire,0,false,3447 EV 25
29,M,709,C�libataire,0,false,2253 KL 78
64,M,469,En Couple,0,true,2045 JP 29
18,M,578,En Couple,0,false,5830 PC 39
23,M,220,En Couple,3,false,1420 BD 70
24,M,437,En Couple,0,true,8785 IZ 32
42,M,185,C�libataire,0,false,5476 WH 20
82,M,535,En Couple,3,false,7830 RC 78
19,F,215,En Couple,3,true,422 AL 65
37,M,432,En Couple,2,true,7775 AR 24
20,F,549,En Couple,1,false,9607 SL 81
35,M,527,C�libataire,0,false,8632 HD 53
44,M,498,En Couple,4,false,5004 YU 46
51,M,824,En Couple,0,false,7969 AH 55
58,M,1358,C�libataire,0,false,6716 IY 28
46,M,180,En Couple,0,true,3225 WX 48
32,M,555,En Couple,3,true,7009 WY 91
52,F,538,En Couple,4,false,2340 AP 24
76,M,1225,C�libataire,0,false,5462 FB 48
57,M,465,C�libataire,0,false,5974 LT 93
31,M,211,C�libataire,0,false,953 PV 93
51,M,186,En Couple,3,true,1750 RI 22
43,M,487,En Couple,2,false,6250 WA 63
65,F,532,C�libataire,0,false,971 NY 25
19,M,572,C�libataire,0,false,6138 BL 83
52,M,510,Seule,1,false,4274 NY 39
35,M,183,En Couple,0,false,573 JG 27
33,M,200,En Couple,2,false,8469 SX 52
67,F,150,En Couple,4,false,5144 EU 88
68,F,234,Seule,3,false,3220 VG 77
20,M,522,C�libataire,0,false,1890 VG 89
60,F,585,C�libataire,0,false,1664 MS 71
51,F,594,C�libataire,0,false,1206 LH 60
43,M,1363,C�libataire,0,false,5834 BS 97
41,M,880,C�libataire,0,false,31 MC 84
81,M,460,En Couple,4,true,9144 LV 79
83,M,505,En Couple,2,true,5131 JT 68
19,Homme,716,En Couple,1,false,9296 YX 24
28,F,236,En Couple,3,false,7545 NR 26
61,Homme,153,En Couple,1,true,6139 RD 47
56,M,445,C�libataire,0,false,4298 ZD 91
49,F,1060,En Couple,0,false,5011 IX 98
37,M,426,Seule,1,false,5330 CA 75
41,M,1293,Seule,2,false,5476 UN 49
42,F,566,Seule,3,false,8695 HW 96
73,M,472,En Couple,0,true,1630 EF 63
25,M,587,En Couple,1,false,7937 BC 35
38,M,765,C�libataire,0,false,9697 FH 47
36,M,547,C�libataire,0,false,3208 CY 97
62,F,194,En Couple,2,false,6543 PS 20
46,M,199,En Couple,0,true,5913 LT 66
23,F,1038,C�libataire,0,false,4909 XH 48
19,F,556,En Couple,3,true,5489 XJ 90
59,M,179,C�libataire,0,false,2129 ST 53
28,M,401,En Couple,1,false,1759 ZJ 11
55,M,565,C�libataire,0,false,4501 RF 76
57,F,440,En Couple,2,false,5062 YC 71
30,F,1060,En Couple,3,false,9970 RB 49
81,M,940,En Couple,1,false,2344 SP 66
51,M,457,En Couple,2,false,4053 SX 51
20,M,1340,En Couple,1,false,3739 KY 40
83,M,1028,En Couple,0,true,1950 ZL 86
48,M,473,En Couple,2,true,5464 PV 78
64,M,829,En Couple,2,false,3739 HT 28
19,F,402,En Couple,2,false,1430 OY 15
59,M,457,En Couple,4,false,5153 SW 76
81,M,546,En Couple,3,false,7811 KR 91
56,M,870,C�libataire,0,false,7859 KK 11
29,Femme,458,Seule,1,false,5467 ET 75
27,M,497,C�libataire,0,false,8744 TR 66
50,M,422,C�libataire,0,false,6430 RP 23
48,M,455,Seule,1,false,7609 FL 42
54,F,223,En Couple,2,false,2878 IV 23
50,M,784,En Couple,4,false,3055 UW 87
35,M,506,C�libataire,0,false,3006 AI 83
21,M,835,En Couple,4,false,6921 QN 74
28,Homme,483,En Couple,2,false,5811 BN 38
26,M,229,En Couple,1,true,3860 EK 12
22,M,947,En Couple,4,true,8406 XN 41
74,M,513,En Couple,1,false,112 AZ 59
53,M,1005,En Couple,1,false,6640 KD 22
59,M,209,En Couple,2,true,2929 XL 97
56,M,441,En Couple,2,false,5821 FB 92
55,M,448,En Couple,1,false,1115 YE 76
22,M,519,C�libataire,0,false,4649 OT 47
44,M,1324,En Couple,1,false,1317 NM 15
68,M,489,En Couple,1,true,7397 PE 43
66,M,429,En Couple,3,false,8631 II 37
21,F,1236,En Couple,3,false,8450 VK 40
35,M,404,En Couple,2,true,5835 WZ 71
32,M,172,Seule,3,false,7940 FW 77
18,M,464,En Couple,0,false,2318 SP 69
52,F,1275,En Couple,2,false,7600 SD 49
23,M,227,En Couple,3,false,3088 YZ 98
67,M,535,C�libataire,0,false,6173 AF 73
53,M,760,En Couple,1,false,8895 ZZ 97
22,F,1208,C�libataire,0,false,3846 GT 97
59,M,474,En Couple,0,false,1728 II 79
39,M,246,En Couple,4,false,839 SU 16
37,M,803,En Couple,1,false,2502 PS 93
52,F,408,En Couple,0,false,2155 JQ 66
72,M,203,En Couple,4,false,5336 BM 78
52,M,249,C�libataire,0,false,52 OS 51
20,F,575,En Couple,4,false,8959 CB 69
30,F,748,En Couple,2,false,6210 LS 78
40,M,1139,C�libataire,0,false,2068 DR 49
20,M,227,Seule,2,false,9626 QO 16
57,M,1121,En Couple,0,false,6454 UB 38
18,M,453,C�libataire,0,false,9552 HA 54
24,M,192,En Couple,0,false,6370 YX 30
32,M,586,En Couple,0,false,6828 IK 41
56,F,1089,En Couple,1,false,6936 GO 52
38,F,559,En Couple,2,false,7113 ZD 27
39,M,1119,C�libataire,0,false,6813 FC 13
52,M,443,C�libataire,0,false,8993 AG 38
24,M,922,C�libataire,0,false,4339 BN 43
20,F,407,C�libataire,0,false,1762 US 17
23,M,504,En Couple,2,false,8257 TQ 79
20,F�minin,440,En Couple,2,true,683 FA 19
22,Homme,727,En Couple,2,false,6673 ZH 65
49,M,234,Seule,2,false,6223 LQ 88
24,M,943,En Couple,4,false,6924 NR 58
26,M,237,Seule,2,false,8768 TJ 75
21,M,1084,C�libataire,0,false,8880 AN 78
21,M,1319,En Couple,0,false,9636 YD 51
25,M,468,Seule,2,false,1098 OE 41
55,F,228,En Couple,0,false,5652 PA 63
52,M,1230,En Couple,3, ,9068 VL 70
81,Homme,541,En Couple,2,false,4215 PT 66
27,M,203,Seule,2,false,5047 XD 42
38,M,1051,En Couple,0,true,3467 ES 96
38,M,467,En Couple,1,true,9681 NQ 29
74,M,431,En Couple,0,false,9820 TS 57
76,M,594,En Couple,2,false,16 DR 59
26,M,241,C�libataire,0,false,9546 HD 63
24,M,162,En Couple,3,true,2269 VQ 33
23,F,450,C�libataire,0,false,5367 WU 37
57,F,249,En Couple,2,false,6978 RK 21
63,F,1260,C�libataire,0,false,1446 JF 81
31,F,171,En Couple,1,false,6764 HW 46
69,M,576,En Couple,4,false,237 OD 26
43,M,854,En Couple,0,false,344 BL 46
27,F,236,C�libataire,0,false,963 MQ 93
39,M,1374,En Couple,1,false,1993 DE 79
25,M,1018,En Couple,4,false,6802 EL 49
46,M,1048,En Couple,0,true,3184 DG 96
20,M,498,En Couple,2,false,7109 QN 77
57,M,431,En Couple,4,true,9346 VV 98
27,F,911,C�libataire,0,false,6795 BN 36
29,M,909,En Couple,0,false,5398 FA 25
30,F,593,En Couple,3,true,386 MZ 86
76,F,453,En Couple,2,false,2596 IF 33
68,M,1344,En Couple,3,false,6476 UD 81
29,M,1083,En Couple,4,false,5718 VY 39
66,F,528,En Couple,2,false,6364 JP 31
65,M,718,?,2,true,1146 ZJ 13
32,F,491,C�libataire,0,false,682 PX 72
71,M,470,En Couple,4,false,685 MT 64
48,M,1331,Mari�(e),1,false,4506 BN 35
18,M,539,En Couple,0,false,33 HB 35
22,M,533,En Couple,4,false,1465 BP 62
44,M,1069,En Couple,1,false,6935 VG 44
47,F,451,En Couple,4,false,1488 YM 81
52,M,575,C�libataire,0,false,7269 FH 39
84,M,580,En Couple,3,false,7821 JJ 24
50,F,453,C�libataire,0,false,7185 HC 85
31,M,412,En Couple,2,false,6273 OH 32
37,F,559,En Couple,1,false,7460 UZ 79
80,M,871,C�libataire,0,false,4044 OK 57
30,M,198,C�libataire,0,false,3608 ZK 12
35,M,773,C�libataire,0,false,3827 RY 12
58,M,1221,En Couple,3,false,4922 YO 47
